Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M01;-11,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M02;-15,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M03;-16,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M04;-14,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M05;-13,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M06;-11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M07;-9,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M08;-8,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M09;-8,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M01;-21,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M02;-20,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M03;-16,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M04;-12,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M05;-11,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M06;-9,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M07;-7,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M08;-8,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2023 M09;-9,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M01;-32,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M02;-25,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M03;-17,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M04;-10,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M05;-9,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M06;-7,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M07;-6,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M08;-7,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2023 M09;-10,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M01;-7,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M02;-11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M03;-13,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M04;-12,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M05;-11,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M06;-12,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M07;-10,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M08;-10,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M09;-13,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M10;-14,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M11;-15,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M12;-14,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M01;-17,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M02;-15,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M03;-20,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M04;-15,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M05;-14,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M06;-15,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M07;-15,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M08;-15,3;(nd)
