Zmienna;Typ informacji;Jednostka terytorialna;PKD - koniunktura gospodarcza (całość);Szereg czasowy;Wartość;Flaga
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M01;-23,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M02;-22,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M03;-13,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M04;-5,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M05;-2,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M06;-1,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M07;-1,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M08;-4,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M09;-6,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M01;-36,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M02;-22,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M03;-13,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M04;2,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M05;2,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M06;1,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M07;-3,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M08;-9,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M09;-18,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M01;-10,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M02;-22,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M03;-14,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M04;-12,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M05;-8,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M06;-4,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M07;0,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M08;1,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2023 M09;5,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M01;-19,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M02;-15,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M03;-13,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M04;-4,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M05;5,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M06;1,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M07;1,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M08;-4,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M09;-18,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M10;-22,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M11;-19,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M12;-19,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M01;-27,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M02;-17,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M03;-12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M04;2,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M05;14,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M06;6,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M07;1,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M08;-9,7;(nd)
